HIP;RA_J2000;DE_J2000
15333;3.295927;3.681439
15777;3.388591;16.565733
28710;6.063724;16.731978
14169;3.045125;7.066737
20558;4.404023;12.157987
26252;5.591447;5.824212
14037;3.012798;12.984818
15630;3.354827;9.659873
23702;5.094783;15.099806
26101;5.566920;14.490061
28509;6.018227;16.991451
20356;4.359491;6.974278
14863;3.198985;16.165988
19223;4.119773;12.268178
21501;4.617787;4.629132
17792;3.808547;9.645948
19470;4.169937;18.474506
20393;4.366605;11.573007
22354;4.812396;3.588526
22642;4.871794;5.676886
23866;5.129501;10.895068
27276;5.780499;9.662954
20458;4.383245;9.249024
21084;4.518899;7.332213
22238;4.784627;9.060674
25525;5.458353;5.595221
13671;2.934491;6.174965
14497;3.121343;15.203088
18089;3.866730;6.534907
22128;4.761797;23.627996
22597;4.862051;9.975078
25583;5.467114;17.239130
28148;5.948374;12.372331
14689;3.162682;20.000992
17121;3.666752;16.360190
22583;4.860096;12.794097
26836;5.698545;23.326228
26898;5.710243;3.681858
28806;6.081747;22.312858
17586;3.766946;18.566705
19221;4.119623;13.812331
25181;5.386686;7.056284
26984;5.725654;8.758423
27667;5.857732;3.774192
14672;3.159618;19.380733
17301;3.703521;10.739793
22384;4.818832;5.208528
25550;5.462192;24.332475
17068;3.658242;14.482431
20898;4.479738;14.819518
24622;5.281145;12.409346
28110;5.941121;9.509396
28294;5.979867;20.206717
14694;3.164090;13.767767
18145;3.879757;13.946817
18784;4.024592;19.596514
19709;4.222932;13.578644
20204;4.329806;13.085841
25539;5.460579;21.936965
13893;2.981815;19.576059
26359;5.613681;15.618403
15738;3.379713;6.799541
20963;4.495238;10.521860
13937;2.992648;3.517576
19417;4.158078;23.294411
21120;4.526608;22.845044
22855;4.917588;21.671659
27610;5.846311;20.671801
15525;3.334030;15.657912
17244;3.693107;9.330375
25323;5.416634;11.127216
27022;5.731355;14.693847
27427;5.807838;4.703943
18110;3.871850;18.917605
18430;3.941138;7.571268
19516;4.180891;3.574320
23606;5.076052;23.649523
28398;5.998221;3.991002
20831;4.464315;10.014326
14835;3.192884;4.723263
23388;5.027493;10.209790
26015;5.551487;23.142298
26438;5.626226;19.779505
28027;5.927439;4.746591
19067;4.086436;13.296744
13632;2.925595;6.307004
17259;3.696962;7.317997
24286;5.211977;13.372636
14172;3.045711;11.012724
23945;5.146155;11.752230
14421;3.103080;4.823632
16268;3.495158;16.762335
17520;3.750770;6.636656
16428;3.525322;22.505805
19657;4.212070;5.030873
20278;4.346413;22.231324
26170;5.579363;6.553787
13557;2.910438;12.939234
13752;2.950426;17.239490
16668;3.575083;22.759424
