"","HIP","RA_J2000","DE_J2000","Plx","pmRA","pmDE","Vmag","BV","hyades","clusterNum"
"2489",20527,4.39845,14.0521,22.57,115.9,-15.21,10.89,1.288,0,2
"2490",21459,4.60809,23.3409,22.6,109.97,-53.86,6.01,0.38,0,2
"2491",21637,4.64758,23.15,22.6,104.3,-55.25,7.51,0.576,0,2
"2492",20641,4.42361,22.2,22.65,112.45,-47.06,5.27,0.25,0,2
"2493",15401,3.30978,10.3124,22.66,147.35,-80.83,12.25,1.485,0,2
"2494",19808,4.24776,13.055,22.67,114.46,-19.28,10.69,1.204,0,2
"2496",16529,3.54724,23.6922,22.78,160.99,-40.55,8.88,0.844,0,2
"2497",21267,4.56296,13.2519,22.8,101.77,-17.93,6.62,0.429,1,2
"2498",20995,4.50239,15.6378,22.93,107.59,-23.92,5.58,0.324,0,2
"2500",21066,4.51588,10.7518,22.96,104.19,-10.52,7.03,0.472,1,2
"2501",22496,4.83998,17.2027,22.96,102.78,-29.7,7.1,0.563,0,2
"2502",21474,4.61131,15.8693,22.99,93.78,-23.02,6.64,0.442,1,2
"2503",20751,4.44674,10.8711,23.03,111.07,-16.26,9.45,1.033,0,2
"2505",18946,4.06084,19.455,23.07,119.02,-34.19,10.12,1.095,0,2
"2506",20686,4.43104,18.8641,23.08,110.87,-33.75,8.07,0.68,0,2
"2508",23214,4.99565,15.9167,23.09,87.21,-29.19,6.75,0.45,1,2
"2509",21152,4.53467,5.41004,23.13,114.15,6.17,6.37,0.42,1,2
"2510",21317,4.57648,15.5046,23.19,100.66,-28.04,7.9,0.631,1,2
"2511",19504,4.17843,18.4233,23.22,123.92,-31.41,6.61,0.427,1,2
"2512",21923,4.71436,18.7204,23.23,103.46,-92.15,7.12,0.677,0,2
"2513",20935,4.48904,17.5449,23.25,104.88,-31.65,7.02,0.526,1,2
"2514",20215,4.3319,16.5226,23.27,121.27,-36.65,6.85,0.509,1,2
"2518",21123,4.52697,17.7098,23.41,105.81,-30.97,9.53,0.987,0,2
"2521",20130,4.3161,19.9067,23.53,113.95,-36.39,8.62,0.745,0,2
"2522",21543,4.62555,15.1465,23.54,86.8,-17.98,7.53,0.597,0,2
"2525",19207,4.11701,15.335,23.57,122.63,-18.96,10.49,1.18,0,2
"2527",22505,4.84273,15.0835,23.64,89.49,-20.65,7.73,0.74,0,2
"2528",21762,4.67374,16.5137,23.65,91.94,-30.69,9.47,1.096,0,2
"2529",19481,4.1727,12.0776,23.85,168.24,89.45,8.11,0.741,0,2
"2530",22607,4.86389,13.6552,23.91,106.84,-16,6.3,0.502,1,2
"2531",21723,4.66416,12.7285,23.95,102,-17.7,10.04,1.073,0,2
"2532",17766,3.80329,7.14624,24.02,173.16,4.87,10.85,1.34,0,2
"2533",21280,4.56626,15.1636,24.02,101.93,-33.75,8.48,0.847,0,2
"2535",20834,4.4647,24.4448,24.05,375.08,114.38,9.4,0.894,0,2
"2536",22224,4.7804,17.7483,24.11,96.93,-33.93,9.6,0.967,0,2
"2537",18170,3.88612,17.3271,24.14,143.97,-29.93,5.97,0.354,1,2
"2538",18327,3.91847,16.9985,24.16,148.37,-25.09,8.99,0.895,0,2
"2539",20951,4.49211,17.8932,24.19,107,-33.31,8.95,0.831,1,2
"2540",21053,4.513,16.1487,24.28,98.2,-22.75,6.5,0.428,1,2
"2543",20605,4.41335,15.8747,24.41,102.58,-26.06,11.66,1.408,0,2
"2545",20557,4.40405,21.7362,24.47,119.1,-46.63,7.13,0.518,1,2
"2547",15374,3.30419,9.24515,24.54,123.52,15.81,11.91,1.341,0,2
"2549",18253,3.90444,8.55867,24.61,238.12,-67.02,11.94,1.46,0,2
"2551",20978,4.49937,16.6728,24.71,105.04,-28.33,9.08,0.865,0,2
"2552",18018,3.85086,23.9037,24.72,150.93,-46.61,10.17,1.16,0,2
